komnr,navn,valgdelt,parti10,mockdelt,mem,parti06,leftborg
101,København,54.42,1,,0,1,1
147,Frederiksberg,64.23,3,29.8,1,3,0
151,Ballerup,64.11,1,11.9,1,1,1
153,Brøndby,58.17,1,,0,1,1
155,Dragør,72.66,1,,0,1,1
157,Gentofte,66.27,3,,0,3,0
159,Gladsaxe,62.73,1,,0,1,1
161,Glostrup,60.6,9,,0,1,1
163,Herlev,63.61,1,,0,1,1
165,Albertslund,60.64,1,12.1,1,1,1
167,Hvidovre,58.71,1,,0,1,1
169,Høje-Taastrup,64.48,3,,0,3,0
173,Lyngby-Tårbæk,68.19,9,20.4,1,3,0
175,Rødovre,60.41,1,9.1,1,1,1
183,Ishøj,60.27,1,8.1,1,1,1
185,Tårnby,60.68,1,,0,1,1
187,Vallensbæk,69.99,3,,0,3,0
190,Furesø,74.79,1,18,1,9,0
201,Allerød,76.58,3,14.3,1,3,0
210,Fredensborg,67.8,1,86.8,1,9,0
217,Helsingør,67.37,9,19.4,1,3,0
219,Hillerød,71.24,1,,0,1,1
223,Hørsholm,72,3,,0,3,0
230,Rudersdal,71.05,9,,0,9,0
240,Egedal,73.7,9,,0,9,0
250,Frederikssund,67.13,1,,0,1,1
253,Greve,67.04,3,,0,3,0
259,Køge,68.98,1,17.9,1,1,1
260,Halsnæs,64.5,1,,0,1,1
265,Roskilde,67.7,1,10.3,1,1,1
269,Solrød,68.03,9,,0,9,0
270,Gribskov,69.15,3,,0,9,0
306,Odsherred,68.61,1,25.8,1,1,1
316,Holbæk,66.71,9,,0,2,1
320,Faxe,67.56,1,,0,12,0
326,Kalundborg,64.82,9,,0,1,1
329,Ringsted,65.52,9,,0,9,0
330,Slagelse,64.64,1,18.5,1,1,1
336,Stevns,70.97,9,,0,9,0
340,Sorø,68.17,1,,0,1,1
350,Lejre,72.2,5,,0,9,0
360,Lolland,64.41,1,12,1,1,1
370,Næstved,64.52,1,68.8,1,1,1
376,Guldborgsund,67.13,12,,0,1,1
390,Vordingborg,69.1,1,,0,1,1
400,Bornholm,72.11,1,20.5,1,12,0
410,Middelfart,69.25,1,,0,1,1
420,Assens,69.36,1,17.9,1,1,1
430,Faaborg-Midtfyn,72.98,1,11.1,1,9,0
440,Kerteminde,73.18,12,,0,1,1
450,Nyborg,73.01,1,,0,9,0
461,Odense,65.78,1,,0,3,0
479,Svendborg,70.29,1,9.7,1,9,0
480,Nordfyns,71.22,9,85,1,9,0
482,Langeland,72.44,9,,0,12,0
492,Ærø,80.49,3,,0,1,1
510,Haderslev,69.61,1,,0,9,0
530,Billund,67.74,9,,0,9,0
540,Sønderborg,69.29,12,,0,1,1
550,Tønder,68.12,9,,0,9,0
561,Esbjerg,61.28,9,13.7,1,9,0
563,Fanø,81.12,9,,0,9,0
573,Varde,66.19,9,,0,9,0
575,Vejen,67.23,9,20.4,1,9,0
580,Aabenraa,67.16,1,,0,1,1
607,Fredericia,68.3,9,13.7,1,1,1
615,Horsens,62.31,1,12,1,1,1
621,Kolding,68.11,9,,0,1,1
630,Vejle,65.96,9,,0,1,1
657,Herning,71.1,9,,0,9,0
661,Holstebro,75.47,1,,0,9,0
665,Lemvig,74.95,9,,0,9,0
671,Struer,75.28,1,,0,9,0
706,Syddjurs,67.88,5,,0,1,1
707,Norddjurs,66.21,1,,0,12,0
710,Favrskov,70.51,1,,0,9,0
727,Odder,72.88,1,18.4,1,9,0
730,Randers,65.07,1,,0,1,1
740,Silkeborg,68.55,1,,0,3,0
741,Samsø,79.05,3,,0,9,0
746,Skanderborg,70.83,1,13.3,1,9,0
751,Århus,63.66,1,16.8,1,1,1
756,Ikast-Brande,71.44,9,88.2,1,9,0
760,Ringkøbing-Skjern,70.33,9,,0,9,0
766,Hedensted,71.13,9,,0,1,1
773,Morsø,73.87,1,,0,1,1
779,Skive,74.27,9,26.1,1,9,0
787,Thisted,68.29,9,,0,1,1
791,Viborg,67.6,3,,0,1,1
810,Brønderslev,70.14,9,,0,9,0
813,Frederikshavn,64.18,9,22.2,1,1,1
820,Vesthimmerland,69.54,3,,0,9,0
825,Læsø,81.79,12,,0,9,0
840,Rebild,73.95,9,,0,9,0
846,Mariagerfjord,68.2,1,,0,1,1
849,Jammerbugt,70.98,9,,0,9,0
851,Aalborg,60.31,1,,0,1,1
860,Hjørring,65.62,1,,0,1,1
